symbol,name,marketcap,debt_ratio,growth,id,oneyearhigh,price,eps,float,insider_own,percent_institutions_own,price_percent_from_1_yr_hi,price_to_revenue,volume,lt_debt,ebitda
GTYH,GTY Technology Holdings Inc,143355120,NaN,0.354,14919,7.3899,2.66,-1.3,39935208,13.764999999999999,37.505,0.36,0,58164,3210000.00,NA
MOXC,"Moxian, Inc",36268960,NaN,1.653,15214,2.56,2.24,0.027,7817432,58.163,0.015,0.88,157.3683,114459,NA,151902
MPXOF,MPX International Corporation,11285585,NaN,2.763,15315,0.5,0.09,0,120453692,11.105,0.037,0.18,6.4857,36452,NA,NA
MRBK,Meridian Corporation,87524632,NaN,0.821,15345,20.89,14.36,2.315,4499778,15.881,49.966,0.69,1.0989,31899,186256000.00,NA
HEAR,Turtle Beach Corporation,249862992,NaN,0.928,15549,20.95,17.12,1.409,14246382,10.864,43.464999999999996,0.82,1.032,388200,NA,22629000
INSHF,Inner Spirit Holdings Ltd,16991926,NaN,5.754,15602,0.1271,0.08,-0.039,177469588,22.417,0,0.65,0,46034,NA,NA
MSNVF,Mission Ready Solutions Inc,12308516,NaN,10.978,15675,0.18,0.06,-0.032,142027466,24.102,0.318,0.35,0.2565,67293,1478742.00,NA
MSON,"Misonix, Inc",205015568,-6.72,0.406,15678,22.2,11.5,-1.19,11880294,22.858999999999998,31.840000000000003,0.52,2.6553,80785,38595505.00,-5746092
IONI,I-ON Digital Corp,9399289,0.21,0.394,15728,0.49,0.25,0.014,21216475,39.434000000000005,0,0.51,0.3865,49950,187357.00,872642
IPATF,ImmunoPrecise Antibodies Ltd,99418752,NaN,0.569,15754,1.57,1.44,-0.084,75632110,22.512999999999998,0.215,0.92,8.1295,97709,503574.00,NA
HITIF,High Tide Inc,32139962,NaN,1.967,15827,0.292,0.13,0,137873526,42.174,0,0.46,0.6606,73954,8694000.00,NA
HLIX,"Helix Technologies, Inc",12817212,-0.11,0.222,16002,0.87,0.1,-0.105,59925488,62.212999999999994,0,0.12,0.5746,434433,811024.00,-7689857
MYCOF,Mydecine Innovations Group Inc,7553452,NaN,0.77,16111,0.664,0.22,0,23382334,12.280000000000001,0,0.34,30.9466,56954,NA,NA
ISSC,"Innovative Solutions and Support, Inc",135875200,NaN,0.297,16101,8.08,8.01,0.179,10546309,32.355000000000004,30.718,0.99,6.7254,136897,NA,2811469
ITHUF,"iAnthus Capital Holdings, Inc",11471910,-0.03,2.163,16155,2.32,0.07,-3.021,164057843,5.89,2.8729999999999998,0.03,0.1204,325200,1241000.00,-40793044
MYOS,MYOS RENS Technology Inc,16467052,-0.08,1.136,16193,2.42,1.39,-0.394,6304390,50.083,5.831,0.57,9.9364,45200,310000.00,-3768000
MYSZ,"My Size, Inc",7159788,NaN,3.2,16222,4.82,0.99,-1.837,6507093,17.457,5.282,0.21,32.3594,114456,NA,-5144000
MYT,"Urban Tea, Inc",13266830,NaN,7.17,16225,2.51,1.7,12.942,3058032,16.658,0.621,0.68,6.0486,279700,NA,-78889728
HOV,"Hovnanian Enterprises, Inc",188378208,NaN,0.303,16320,36.43,30.67,1.184,4653068,13.661000000000001,32.342,0.84,0.0895,126060,1611842000.00,97680000
HSDEF,Harborside Inc,15547769,-1.02,0.258,16507,1.85,0.77,-0.46,7138486,11.254999999999999,0,0.42,0.7185,84200,10916666.00,-10751918
